id,name,readible name,instances,eval,color
0,animal--bird,Bird,True,True,"RGB(165,42,42)"
1,animal--ground-animal,Ground Animal,True,True,"RGB(0,192,0)"
2,construction--barrier--acoustic,Acoustic Barrier,False,True,"RGB(250,170,30)"
3,construction--barrier--ambiguous,Ambiguous Barrier,False,False,"RGB(250,170,31)"
4,construction--barrier--concrete-block,Concrete Block,False,True,"RGB(250,170,32)"
5,construction--barrier--curb,Curb,False,True,"RGB(196,196,196)"
6,construction--barrier--fence,Fence,False,True,"RGB(190,153,153)"
7,construction--barrier--guard-rail,Guard Rail,False,True,"RGB(180,165,180)"
8,construction--barrier--other-barrier,Barrier,False,True,"RGB(90,120,150)"
9,construction--barrier--road-median,Road Median,False,True,"RGB(250,170,33)"
10,construction--barrier--road-side,Road Side,False,True,"RGB(250,170,34)"
11,construction--barrier--separator,Lane Separator,False,True,"RGB(128,128,128)"
12,construction--barrier--temporary,Temporary Barrier,True,True,"RGB(250,170,35)"
13,construction--barrier--wall,Wall,False,True,"RGB(102,102,156)"
14,construction--flat--bike-lane,Bike Lane,False,True,"RGB(128,64,255)"
15,construction--flat--crosswalk-plain,Crosswalk - Plain,True,True,"RGB(140,140,200)"
16,construction--flat--curb-cut,Curb Cut,False,True,"RGB(170,170,170)"
17,construction--flat--driveway,Driveway,True,True,"RGB(250,170,36)"
18,construction--flat--parking,Parking,False,True,"RGB(250,170,160)"
19,construction--flat--parking-aisle,Parking Aisle,False,True,"RGB(250,170,37)"
20,construction--flat--pedestrian-area,Pedestrian Area,False,True,"RGB(96,96,96)"
21,construction--flat--rail-track,Rail Track,False,True,"RGB(230,150,140)"
22,construction--flat--road,Road,False,True,"RGB(128,64,128)"
23,construction--flat--road-shoulder,Road Shoulder,False,True,"RGB(110,110,110)"
24,construction--flat--service-lane,Service Lane,False,True,"RGB(110,110,110)"
25,construction--flat--sidewalk,Sidewalk,False,True,"RGB(244,35,232)"
26,construction--flat--traffic-island,Traffic Island,False,True,"RGB(128,196,128)"
27,construction--structure--bridge,Bridge,False,True,"RGB(150,100,100)"
28,construction--structure--building,Building,False,True,"RGB(70,70,70)"
29,construction--structure--garage,Garage,False,True,"RGB(150,150,150)"
30,construction--structure--tunnel,Tunnel,False,True,"RGB(150,120,90)"
31,human--person--individual,Person,True,True,"RGB(220,20,60)"
32,human--person--person-group,Person Group,False,False,"RGB(220,20,60)"
33,human--rider--bicyclist,Bicyclist,True,True,"RGB(255,0,0)"
34,human--rider--motorcyclist,Motorcyclist,True,True,"RGB(255,0,100)"
35,human--rider--other-rider,Other Rider,True,True,"RGB(255,0,200)"
36,marking--continuous--dashed,Lane Marking - Dashed Line,False,True,"RGB(255,255,255)"
37,marking--continuous--solid,Lane Marking - Straight Line,False,True,"RGB(255,255,255)"
38,marking--continuous--zigzag,Lane Marking - Zigzag Line,False,True,"RGB(250,170,29)"
39,marking--discrete--ambiguous,Lane Marking - Ambiguous,False,False,"RGB(250,170,28)"
40,marking--discrete--arrow--ambiguous,Lane Marking - Arrow (Ambiguous),True,False,"RGB(250,170,27)"
41,marking--discrete--arrow--left,Lane Marking - Arrow (Left),True,True,"RGB(250,170,26)"
42,marking--discrete--arrow--other,Lane Marking - Arrow (Other),True,True,"RGB(250,170,25)"
43,marking--discrete--arrow--right,Lane Marking - Arrow (Right),True,True,"RGB(250,170,24)"
44,marking--discrete--arrow--split-left-or-right,Lane Marking - Arrow (Split Left or Right),True,True,"RGB(250,170,23)"
45,marking--discrete--arrow--split-left-or-straight,Lane Marking - Arrow (Split Left or Straight),True,True,"RGB(250,170,22)"
46,marking--discrete--arrow--split-left-right-or-straight,Lane Marking - Arrow (Split L/R or Straight),True,True,"RGB(250,170,18)"
47,marking--discrete--arrow--split-right-or-straight,Lane Marking - Arrow (Split Right or Straight),True,True,"RGB(250,170,21)"
48,marking--discrete--arrow--straight,Lane Marking - Arrow (Straight),True,True,"RGB(250,170,20)"
49,marking--discrete--arrow--u-turn,Lane Marking - Arrow (U-Turn),True,True,"RGB(250,170,19)"
50,marking--discrete--crosswalk-zebra,Lane Marking - Crosswalk,True,True,"RGB(255,255,255)"
51,marking--discrete--give-way-row,Lane Marking - Give Way (Row),True,True,"RGB(250,170,19)"
52,marking--discrete--give-way-single,Lane Marking - Give Way (Single),True,True,"RGB(250,170,18)"
53,marking--discrete--graphics--ambiguous,Lane Marking - Graphics (Ambiguous),True,False,"RGB(250,170,17)"
54,marking--discrete--graphics--bicycle,Lane Marking - Graphics (Bicycle),True,True,"RGB(250,170,16)"
55,marking--discrete--graphics--other,Lane Marking - Graphics (Other),True,True,"RGB(250,170,15)"
56,marking--discrete--graphics--pedestrian,Lane Marking - Graphics (Pedestrian),True,True,"RGB(250,170,14)"
57,marking--discrete--graphics--wheelchair,Lane Marking - Graphics (Wheelchair),True,True,"RGB(250,170,13)"
58,marking--discrete--hatched--chevron,Lane Marking - Hatched (Chevron),False,True,"RGB(250,170,12)"
59,marking--discrete--hatched--diagonal,Lane Marking - Hatched (Diagonal),False,True,"RGB(250,170,11)"
60,marking--discrete--other-marking,Lane Marking - Other,True,True,"RGB(255,255,255)"
61,marking--discrete--stop-line,Lane Marking - Stop Line,True,True,"RGB(255,255,255)"
62,marking--discrete--text--30,Lane Marking - Text (30),True,True,"RGB(250,170,14)"
63,marking--discrete--text--40,Lane Marking - Text (40),True,True,"RGB(250,170,13)"
64,marking--discrete--text--50,Lane Marking - Text (50),True,True,"RGB(250,170,12)"
65,marking--discrete--text--ambiguous,Lane Marking - Text (Ambiguous),True,False,"RGB(250,170,10)"
66,marking--discrete--text--bus,Lane Marking - Text (Bus),True,True,"RGB(250,170,9)"
67,marking--discrete--text--other,Lane Marking - Text (Other),True,True,"RGB(250,170,6)"
68,marking--discrete--text--school,Lane Marking - Text (School),True,True,"RGB(250,170,5)"
69,marking--discrete--text--slow,Lane Marking - Text (Slow),True,True,"RGB(250,170,4)"
70,marking--discrete--text--stop,Lane Marking - Text (Stop),True,True,"RGB(250,170,3)"
71,marking--discrete--text--taxi,Lane Marking - Text (Taxi),True,True,"RGB(250,170,2)"
72,nature--beach,Beach,False,True,"RGB(128,32,32)"
73,nature--mountain,Mountain,False,True,"RGB(64,170,64)"
74,nature--sand,Sand,False,True,"RGB(230,160,50)"
75,nature--sky,Sky,False,True,"RGB(70,130,180)"
76,nature--snow,Snow,False,True,"RGB(190,255,255)"
77,nature--terrain,Terrain,False,True,"RGB(152,251,152)"
78,nature--vegetation,Vegetation,False,True,"RGB(107,142,35)"
79,nature--water,Water,False,True,"RGB(0,170,30)"
80,object--banner,Banner,True,True,"RGB(255,255,128)"
81,object--bench,Bench,True,True,"RGB(250,0,30)"
82,object--bike-rack,Bike Rack,True,True,"RGB(100,140,180)"
83,object--catch-basin,Catch Basin,True,True,"RGB(220,128,128)"
84,object--cctv-camera,CCTV Camera,True,True,"RGB(222,40,40)"
85,object--fire-hydrant,Fire Hydrant,True,True,"RGB(100,170,30)"
86,object--junction-box,Junction Box,True,True,"RGB(40,40,40)"
87,object--mailbox,Mailbox,True,True,"RGB(33,33,33)"
88,object--manhole,Manhole,True,True,"RGB(100,128,160)"
89,object--parking-meter,Parking Meter,True,True,"RGB(20,20,255)"
90,object--phone-booth,Phone Booth,True,True,"RGB(142,0,0)"
91,object--pothole,Pothole,False,True,"RGB(70,100,150)"
92,object--ramp,Ramp,False,True,"RGB(111,74,0)"
93,object--sign--advertisement,Signage - Advertisement,True,True,"RGB(250,171,30)"
94,object--sign--ambiguous,Signage - Ambiguous,True,False,"RGB(250,172,30)"
95,object--sign--back,Signage - Back,True,True,"RGB(250,173,30)"
96,object--sign--information,Signage - Information,True,True,"RGB(250,174,30)"
97,object--sign--other,Signage - Other,True,True,"RGB(250,175,30)"
98,object--sign--store,Signage - Store,True,True,"RGB(250,176,30)"
99,object--street-light,Street Light,True,True,"RGB(210,170,100)"
100,object--support--pole,Pole,True,True,"RGB(153,153,153)"
101,object--support--pole-group,Pole Group,False,False,"RGB(153,153,153)"
102,object--support--traffic-sign-frame,Traffic Sign Frame,True,True,"RGB(128,128,128)"
103,object--support--utility-pole,Utility Pole,True,True,"RGB(0,0,80)"
104,object--traffic-cone,Traffic Cone,True,True,"RGB(210,60,60)"
105,object--traffic-light--ambiguous,Traffic Light - Ambiguous,True,False,"RGB(250,170,30)"
106,object--traffic-light--cyclists-back,Traffic Light - Cyclists (Back),True,True,"RGB(250,180,30)"
107,object--traffic-light--cyclists-front,Traffic Light - Cyclists (Front),True,True,"RGB(250,170,30)"
108,object--traffic-light--cyclists-side,Traffic Light - Cyclists (Side),True,True,"RGB(250,160,30)"
109,object--traffic-light--general-horizontal-back,Traffic Light - General (Horizontal/Back),True,True,"RGB(250,170,30)"
